DATE,DO,Water Temp C,Air temp C ,Relative Humidity (%),Aerated (1/0),Atmospheric Pressure (mb)
7/9/24 14:00,0,24.06,25,100,0,1013.4
7/9/24 14:10,0,24.06,25,100,0,1013.4
7/9/24 14:20,0,24.06,25,100,0,1013.4
7/9/24 14:30,0,24.06,25,100,0,1013.4
7/9/24 14:40,0,24.06,25,100,0,1013.4
7/9/24 14:50,0,24.06,25,100,0,1013
7/9/24 15:00,0,24.06,25,100,0,1013
7/9/24 15:10,0,24.06,25,100,0,1013
7/9/24 15:20,0,24.06,25,100,0,1013
7/9/24 15:30,0,24.06,25,100,0,1013
7/9/24 15:40,0,24.06,25,100,0,1013
7/9/24 15:50,0,24.08,25,100,0,1013.1
7/9/24 16:00,0,24.06,26,100,0,1013.1
7/9/24 16:10,0,24.06,26,100,0,1013.1
7/9/24 16:20,0,24.06,26,100,0,1013.1
7/9/24 16:30,0,24.06,26,100,0,1013.1
7/9/24 16:40,0,24.06,26,100,0,1013.1
7/9/24 16:50,0,24.06,26,100,0,1013.1
7/9/24 17:00,0,24.06,26,100,0,1013.1
7/9/24 17:10,0,24.04,26,100,0,1013.1
7/9/24 17:20,0,24.06,26,100,0,1013.1
7/9/24 17:30,0,24.06,26,100,0,1013.1
7/9/24 17:40,0,24.06,26,100,0,1013.1
7/9/24 17:50,0,24.06,23,100,0,1012.7
7/9/24 18:00,0,24.04,23,100,0,1012.7
7/9/24 18:10,0,24.06,23,100,0,1012.7
7/9/24 18:20,0,24.06,23,100,0,1012.7
7/9/24 18:30,0,24.04,23,100,0,1012.7
7/9/24 18:40,0,24.06,23,100,0,1012.7
7/9/24 18:50,0,24.06,24,100,0,1011.9
7/9/24 19:00,0,24.06,24,100,0,1011.9
7/9/24 19:10,0,24.06,24,100,0,1011.9
7/9/24 19:20,0,24.06,24,100,0,1011.9
7/9/24 19:30,0,24.06,24,100,0,1011.9
7/9/24 19:40,0,24.06,24,100,0,1011.9
7/9/24 19:50,0,24.04,24,100,0,1011.9
7/9/24 20:00,0,24.04,24,100,0,1011.9
7/9/24 20:10,0,24.04,24,100,0,1011.9
7/9/24 20:20,0,24.04,24,100,0,1011.9
7/9/24 20:30,0,24.04,24,100,0,1011.9
7/9/24 20:40,0,24.04,24,100,0,1011.9
7/9/24 20:50,0,24.04,23,100,0,1011.4
7/9/24 21:00,0,24.06,23,100,0,1011.4
7/9/24 21:10,0,24.04,23,100,0,1011.4
7/9/24 21:20,0,24.04,23,100,0,1011.4
7/9/24 21:30,0,24.04,23,100,0,1011.4
7/9/24 21:40,0,24.04,23,100,0,1011.4
7/9/24 21:50,0,24.04,23,100,0,1011.4
7/9/24 22:00,0,24.04,23,100,0,1011.4
7/9/24 22:10,0,24.06,23,100,0,1011.4
7/9/24 22:20,0,24.06,23,100,0,1011.4
7/9/24 22:30,0,24.06,23,100,0,1011.4
7/9/24 22:40,0,24.06,23,100,0,1011.4
7/9/24 22:50,0,24.06,22,100,0,1011.1
