DATE,DO,Water Temp C,Air temp C,Relative Humidity (%),Aerated (1/0),Atmospheric Pressure (mb),hour,day_of_year,month,year,DO_T_1,DO_T_3,DO_T_6,AT_T_1,AT_T_3,AT_T_6,Aerator_T_1,Aerator_T_3,Aerator_T_6
7/10/2024 12:40,0.01,24.4,20,73.95,0,1009.7,12,192,7,2024,0.02,0.01,0.01,20,20,20,0,0,0
7/10/2024 12:50,0.02,24.4,20,69.71,0,1009.8,12,192,7,2024,0.02,0.01,0.01,20,20,20,0,0,0
7/10/2024 13:00,0.02,24.48,20,69.71,0,1009.8,13,192,7,2024,0.02,0.03,0.01,20,20,20,0,0,0
7/10/2024 13:10,0.01,24.48,20,69.71,0,1009.8,13,192,7,2024,0.02,0.03,0.01,20,20,20,0,0,0
7/10/2024 13:20,0.01,24.52,20,69.71,0,1009.8,13,192,7,2024,0.02,0.03,0.01,20,20,20,0,0,0
7/10/2024 13:30,0.08,24.7,20,69.71,0,1009.8,13,192,7,2024,0.02,0.03,0.01,20,20,20,0,0,0
7/10/2024 13:40,0.09,24.7,20,69.71,0,1009.8,13,192,7,2024,0.01,0.03,0.01,20,20,20,0,0,0
7/10/2024 13:50,0.38,24.86,20,58.08,0,1010.7,13,192,7,2024,0.02,0.02,0.01,20,20,20,0,0,0
7/10/2024 14:00,0.12,24.94,21,58.08,0,1010.7,14,192,7,2024,0.02,0.02,0.01,20,20,20,0,0,0
7/10/2024 14:10,0.12,24.7,21,58.08,0,1010.7,14,192,7,2024,0.01,0.02,0.01,20,20,20,0,0,0
7/10/2024 14:20,0.14,24.68,21,58.08,0,1010.7,14,192,7,2024,0.01,0.02,0.01,20,20,20,0,0,0
7/10/2024 14:30,0.15,24.72,21,58.08,0,1010.7,14,192,7,2024,0.08,0.02,0.01,20,20,20,0,0,0
7/10/2024 14:40,0.12,24.76,22,58.08,0,1010.7,14,192,7,2024,0.09,0.02,0.01,20,20,20,0,0,0
7/10/2024 14:50,0.07,24.76,22,48.32,0,1010.9,14,192,7,2024,0.38,0.02,0.01,20,20,20,0,0,0
7/10/2024 15:00,0.07,24.76,23,48.32,0,1010.9,15,192,7,2024,0.12,0.02,0.01,21,20,20,0,0,0
7/10/2024 15:10,0.04,24.78,23,48.32,0,1010.9,15,192,7,2024,0.12,0.02,0.01,21,20,20,0,0,0
7/10/2024 15:20,0.01,24.78,23,48.32,0,1010.9,15,192,7,2024,0.14,0.02,0.01,21,20,20,0,0,0
7/11/2024 11:50,0.01,24.68,20,100,0,1016.9,11,193,7,2024,0.01,0.01,0.01,23,23,23,0,0,0
7/11/2024 12:00,0.02,24.68,21,88.59,0,1016.9,12,193,7,2024,0.01,0.01,0.01,23,23,23,0,0,0
7/11/2024 13:50,0.01,25.02,21,69.71,0,1018.4,13,193,7,2024,0.02,0.01,0.01,21,23,23,0,0,0
7/11/2024 14:00,0.01,25.12,21,69.71,0,1018.4,14,193,7,2024,0.02,0.01,0.01,21,23,23,0,0,0
7/11/2024 14:10,0.08,25.12,21,69.71,0,1018.4,14,193,7,2024,0.02,0.01,0.01,21,23,23,0,0,0
