DATE,Air temp C,Relative Humidity (%),Atmospheric Pressure (mb),hour
2015-05-01 01:00:00,8.33,60.47,1018.7,1.0
2015-05-01 02:00:00,8.33,60.47,1019.3,2.0
2015-05-01 03:00:00,7.78,67.69,1019.6,3.0
2015-05-01 04:00:00,7.22,73.59,1019.5,4.0
2015-05-01 05:00:00,7.22,73.59,1019.7,5.0
2015-05-01 06:00:00,6.67,72.98,1020,6.0
2015-05-01 07:00:00,5,79.21,1020.1,7.0
2015-05-01 08:00:00,5,82.09,1019.8,8.0
2015-05-01 09:00:00,4.44,85.61,1020.3,9.0
2015-05-01 10:00:00,5,82.09,1020.5,10.0
2015-05-01 11:00:00,4.44,82.6,1021.1,11.0
2015-05-01 12:00:00,7.22,79.54,1021.7,12.0
2015-05-01 13:00:00,10,65.8,1022,13.0
2015-05-01 14:00:00,12.22,58.89,1022.1,14.0
2015-05-01 15:00:00,15,51.18,1022,15.0
2015-05-01 16:00:00,16.67,45.91,1022.1,16.0
2015-05-01 17:00:00,17.22,42.65,1021.8,17.0
2015-05-01 18:00:00,17.22,44.47,1021.6,18.0
2015-05-01 19:00:00,16.67,44.02,1021.2,19.0
2015-05-01 20:00:00,17.22,42.65,1020.5,20.0
2015-05-01 21:00:00,18.33,39.79,1019.8,21.0
2015-05-01 22:00:00,17.78,41.06,1019.2,22.0
2015-05-01 23:00:00,17.78,41.06,1019.2,23.0
2015-05-02 00:00:00,16.67,44.02,1019,0.0
2015-05-02 01:00:00,15.56,47.22,1019.2,1.0
2015-05-02 02:00:00,14.44,51.02,1019.3,2.0
2015-05-02 03:00:00,14.44,53.2,1019.2,3.0
2015-05-02 04:00:00,14.44,53.2,1019.2,4.0
2015-05-02 05:00:00,14.44,55.47,1018.8,5.0
2015-05-02 06:00:00,14.44,55.47,1018.6,6.0
2015-05-02 07:00:00,13.89,54.95,1018.6,7.0
2015-05-02 08:00:00,13.33,57.14,1018.5,8.0
2015-05-02 09:00:00,12.78,61.56,1018.8,9.0
2015-05-02 10:00:00,13.33,59.58,1018.7,10.0
2015-05-02 11:00:00,12.22,61.41,1018.6,11.0
2015-05-02 12:00:00,12.78,61.56,1019,12.0
2015-05-02 13:00:00,15.56,51.34,1019.1,13.0
2015-05-02 14:00:00,18.89,34.24,1018.8,14.0
2015-05-02 15:00:00,20.56,29.52,1018.4,15.0
2015-05-02 16:00:00,21.67,25.5,1018.1,16.0
2015-05-02 17:00:00,22.78,23.85,1017.6,17.0
2015-05-02 18:00:00,23.89,22.32,1016.7,18.0
2015-05-02 19:00:00,24.44,21.66,1015.9,19.0
2015-05-02 20:00:00,25,22.6,1015.2,20.0
2015-05-02 21:00:00,25.56,21.05,1014.2,21.0
2015-05-02 22:00:00,25,21.81,1013.9,22.0
2015-05-02 23:00:00,24.44,23.43,1014,23.0
2015-05-03 00:00:00,24.44,21.66,1013.8,0.0
2015-05-03 01:00:00,22.78,23.85,1013.8,1.0
2015-05-03 02:00:00,22.22,25.82,1014.2,2.0
2015-05-03 03:00:00,20.56,29.52,1014.3,3.0
2015-05-03 04:00:00,19.44,34.38,1014.3,4.0
2015-05-03 05:00:00,18.33,38.42,1014.3,5.0
2015-05-03 06:00:00,17.22,42.65,1014.5,6.0
2015-05-03 07:00:00,16.11,45.74,1014.4,7.0
2015-05-03 08:00:00,16.11,47.7,1014.3,8.0
2015-05-03 09:00:00,16.67,47.86,1014.4,9.0
2015-05-03 10:00:00,16.67,47.86,1014.7,10.0
2015-05-03 11:00:00,16.67,49.55,1014.8,11.0
2015-05-03 12:00:00,16.11,55.52,1014.7,12.0
2015-05-03 13:00:00,17.78,51.93,1014.6,13.0
2015-05-03 14:00:00,20.56,41.86,1014.5,14.0
2015-05-03 15:00:00,21.67,40.76,1014.6,15.0
2015-05-03 16:00:00,23.33,35.5,1014.4,16.0
2015-05-03 17:00:00,25.56,32.22,1014.3,17.0
2015-05-03 18:00:00,27.22,26.09,1013.6,18.0
2015-05-03 19:00:00,25.56,32.22,1013.4,19.0
2015-05-03 20:00:00,26.11,30.02,1012.6,20.0
2015-05-03 21:00:00,27.22,27.19,1011.8,21.0
2015-05-03 22:00:00,27.22,29.32,1011.8,22.0
2015-05-03 23:00:00,26.67,30.19,1012,23.0
2015-05-04 00:00:00,20.56,65.44,1013.6,0.0
2015-05-04 01:00:00,18.33,87,1013.7,1.0
2015-05-04 02:00:00,20.56,70.26,1013.5,2.0
2015-05-04 03:00:00,21.67,50.89,1012.8,3.0
2015-05-04 04:00:00,20,60.77,1013,4.0
2015-05-04 05:00:00,19.44,61.03,1012.7,5.0
2015-05-04 06:00:00,20,50.44,1012.5,6.0
2015-05-04 07:00:00,20,46.83,1012.2,7.0
2015-05-04 08:00:00,20,48.77,1012,8.0
2015-05-04 09:00:00,18.89,58.53,1013.1,9.0
2015-05-04 10:00:00,17.78,67.46,1012.4,10.0
2015-05-04 11:00:00,18.33,67.57,1012.6,11.0
2015-05-04 12:00:00,18.33,70.28,1014.8,12.0
2015-05-04 13:00:00,18.89,72.72,1016.3,13.0
2015-05-04 14:00:00,18.89,75.12,1017.2,14.0
2015-05-04 15:00:00,20.56,70.26,1017.7,15.0
2015-05-04 16:00:00,21.67,65.67,1018.2,16.0
2015-05-04 17:00:00,22.78,59.08,1018.6,17.0
2015-05-04 18:00:00,22.78,59.08,1018.5,18.0
2015-05-04 19:00:00,22.78,61.41,1019.2,19.0
2015-05-04 20:00:00,21.11,63.45,1019.5,20.0
2015-05-04 21:00:00,20,67.91,1019.8,21.0
2015-05-04 22:00:00,19.44,67.79,1019.9,22.0
2015-05-04 23:00:00,18.33,70.28,1020.3,23.0
2015-05-05 00:00:00,16.67,72.33,1020.6,0.0
2015-05-05 01:00:00,15.56,72.13,1021.2,1.0
2015-05-05 02:00:00,13.89,71.81,1021.5,2.0
2015-05-05 03:00:00,14.44,64.52,1021.8,3.0
2015-05-05 04:00:00,15,47.39,1021.1,4.0
2015-05-05 05:00:00,15.56,36.04,1021,5.0
2015-05-05 06:00:00,15.56,39.01,1021.1,6.0
2015-05-05 07:00:00,15,55.24,1021.6,7.0
2015-05-05 08:00:00,12.78,74.08,1021.1,8.0
2015-05-05 09:00:00,12.78,79.8,1021.2,9.0
2015-05-05 10:00:00,11.67,89.31,1022.3,10.0
2015-05-05 11:00:00,11.67,96.1,1022.9,11.0
2015-05-05 12:00:00,11.67,89.31,1022.9,12.0
2015-05-05 13:00:00,12.22,92.99,1022.2,13.0
2015-05-05 14:00:00,11.11,92.93,1023.2,14.0
2015-05-05 15:00:00,11.67,96.1,1023.3,15.0
2015-05-05 16:00:00,12.22,92.99,1023.7,16.0
2015-05-05 17:00:00,15,80.64,1023.4,17.0
2015-05-05 18:00:00,13.89,83.21,1023.3,18.0
2015-05-05 19:00:00,13.33,86.52,1023.4,19.0
2015-05-05 20:00:00,13.89,83.21,1023.1,20.0
2015-05-05 21:00:00,13.89,86.58,1022.6,21.0
2015-05-05 22:00:00,13.33,83.69,1022.5,22.0
2015-05-05 23:00:00,12.22,86.41,1022.6,23.0
2015-05-06 00:00:00,12.22,83,1022.3,0.0
2015-05-06 01:00:00,12.78,79.8,1022.6,1.0
2015-05-06 02:00:00,12.22,83,1023.1,2.0
2015-05-06 03:00:00,11.67,82.94,1023,3.0
2015-05-06 04:00:00,11.11,89.26,1023,4.0
2015-05-06 05:00:00,10.56,89.22,1022.9,5.0
2015-05-06 06:00:00,11.11,89.26,1022.7,6.0
2015-05-06 07:00:00,11.11,89.26,1022.5,7.0
2015-05-06 08:00:00,11.11,89.26,1022.1,8.0
2015-05-06 09:00:00,10.56,92.28,1022.1,9.0
2015-05-06 10:00:00,10.56,96.07,1021.8,10.0
2015-05-06 11:00:00,11.11,96.73,1021.9,11.0
2015-05-06 12:00:00,11.67,96.1,1022,12.0
2015-05-06 13:00:00,12.78,100,1022.3,13.0
