DATE,DO,Air temp C,Relative Humidity (%),Atmospheric Pressure (mb),hour,AT_TLAG_1hr,AT_TLAG_3hr,AT_TLAG_6hrs,DO_delta_1h,DO_1h,DO_delta_3h,DO_3h,DO_delta_6h,DO_6h,DO_delta_12h,DO_12h,DO_delta_24h,DO_24h
2024-07-10 12:40:00,0.01,20.0,73.95,1009.7,12.0,20.0,20.0,20.0,0.08,0.09,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
2024-07-10 12:50:00,0.02,20.0,69.71,1009.8,12.0,20.0,20.0,20.0,0.36,0.38,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.01,0.01
2024-07-10 13:00:00,0.02,20.0,69.71,1009.8,13.0,20.0,20.0,20.0,0.1,0.12,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.01,0.01
2024-07-10 13:10:00,0.01,20.0,69.71,1009.8,13.0,20.0,20.0,20.0,0.11,0.12,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
2024-07-10 13:20:00,0.01,20.0,69.71,1009.8,13.0,20.0,20.0,20.0,0.13,0.14,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
2024-07-10 13:30:00,0.08,20.0,69.71,1009.8,13.0,20.0,20.0,20.0,0.07,0.15,-0.07,0.01,-0.07,0.01,-0.07,0.01,-0.07,0.01
2024-07-10 13:40:00,0.09,20.0,69.71,1009.8,13.0,20.0,20.0,20.0,0.03,0.12,-0.08,0.01,-0.08,0.01,-0.08,0.01,-0.08,0.01
2024-07-10 13:50:00,0.38,20.0,58.08,1010.7,13.0,20.0,20.0,20.0,-0.31,0.07,-0.37,0.01,-0.37,0.01,-0.37,0.01,-0.37,0.01
2024-07-10 14:00:00,0.12,21.0,58.08,1010.7,14.0,20.0,20.0,20.0,-0.05,0.07,-0.11,0.01,-0.11,0.01,-0.11,0.01,-0.11,0.01
2024-07-10 14:10:00,0.12,21.0,58.08,1010.7,14.0,20.0,20.0,20.0,-0.08,0.04,-0.11,0.01,-0.11,0.01,-0.11,0.01,-0.04,0.08
2024-07-10 14:20:00,0.14,21.0,58.08,1010.7,14.0,20.0,20.0,20.0,-0.13,0.01,-0.13,0.01,-0.13,0.01,-0.13,0.01,-0.1,0.04
2024-07-10 14:30:00,0.15,21.0,58.08,1010.7,14.0,20.0,20.0,20.0,-0.14,0.01,-0.14,0.01,-0.14,0.01,-0.14,0.01,0.1,0.25
2024-07-10 14:40:00,0.12,22.0,58.08,1010.7,14.0,20.0,20.0,20.0,-0.11,0.01,-0.11,0.01,-0.11,0.01,-0.11,0.01,0.07,0.19
2024-07-10 14:50:00,0.07,22.0,48.32,1010.9,14.0,20.0,20.0,20.0,-0.06,0.01,-0.06,0.01,-0.06,0.01,-0.06,0.01,0.04,0.11
2024-07-10 15:00:00,0.07,23.0,48.32,1010.9,15.0,21.0,20.0,20.0,-0.06,0.01,-0.06,0.01,-0.06,0.01,-0.06,0.01,-0.04,0.03
2024-07-10 15:10:00,0.04,23.0,48.32,1010.9,15.0,21.0,20.0,20.0,-0.03,0.01,-0.03,0.01,-0.03,0.01,-0.03,0.01,-0.01,0.03
2024-07-10 15:20:00,0.01,23.0,48.32,1010.9,15.0,21.0,20.0,20.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.02,0.03
2024-07-11 11:50:00,0.01,20.0,100.0,1016.9,11.0,23.0,23.0,23.0,0.0,0.01,0.1,0.11,0.02,0.03,0.01,0.02,0.43,0.44
2024-07-11 12:00:00,0.02,21.0,88.59,1016.9,12.0,23.0,23.0,23.0,-0.01,0.01,0.01,0.03,0.01,0.03,0.0,0.02,0.42,0.44
2024-07-11 13:50:00,0.01,21.0,69.71,1018.4,13.0,21.0,23.0,23.0,0.1,0.11,0.03,0.04,0.01,0.02,0.01,0.02,0.43,0.44
