DATE,DO,Air temp C,Relative Humidity (%),Atmospheric Pressure (mb),hour,AT_TLAG_1hr,AT_TLAG_3hr,AT_TLAG_6hrs,DO_delta_1h,DO_1h,DO_delta_3h,DO_3h,DO_delta_6h,DO_6h,DO_delta_12h,DO_12h,DO_delta_24h,DO_24h
2024-07-14 03:30:00,1.91,23.0,100.0,1016.5,3.0,18.0,18.0,18.0,-0.03,1.88,-0.43,1.48,-1.04,0.87,-1.79,0.12,-1.1,0.81
2024-07-14 03:40:00,1.66,24.0,100.0,1016.5,3.0,18.0,18.0,18.0,0.28,1.94,-0.18,1.48,-0.8,0.86,-1.54,0.12,-0.95,0.71
2024-07-14 03:50:00,2.13,24.0,100.0,1018.3,3.0,18.0,18.0,18.0,-0.18,1.95,-0.8,1.33,-1.34,0.79,-2.06,0.07,-1.57,0.56
2024-07-14 04:00:00,2.22,24.0,100.0,1018.3,4.0,18.0,18.0,18.0,-0.49,1.73,-0.87,1.35,-1.54,0.68,-2.16,0.06,-1.52,0.7
2024-07-14 04:10:00,2.01,24.0,100.0,1018.3,4.0,18.0,18.0,18.0,-0.61,1.4,-0.85,1.16,-1.32,0.69,-1.95,0.06,-1.37,0.64
2024-07-14 04:20:00,1.93,25.0,100.0,1018.3,4.0,23.0,18.0,18.0,-0.62,1.31,-0.81,1.12,-1.12,0.81,-1.87,0.06,-1.19,0.74
2024-07-14 04:30:00,1.88,25.0,100.0,1018.3,4.0,23.0,18.0,18.0,-0.85,1.03,-0.87,1.01,-1.02,0.86,-1.82,0.06,-1.16,0.72
2024-07-14 04:40:00,1.94,25.0,100.0,1018.3,4.0,24.0,18.0,18.0,-0.73,1.21,-0.91,1.03,-1.2,0.74,-1.78,0.16,-1.22,0.72
2024-07-14 04:50:00,1.95,25.0,100.0,1018.8,4.0,24.0,18.0,18.0,-1.03,0.92,-0.93,1.02,-1.24,0.71,-1.79,0.16,-1.24,0.71
2024-07-14 05:00:00,1.73,25.0,100.0,1018.8,5.0,24.0,18.0,18.0,-0.24,1.49,-0.74,0.99,-0.87,0.86,-1.57,0.16,-0.81,0.92
2024-07-14 05:10:00,1.4,25.0,100.0,1018.8,5.0,24.0,18.0,18.0,0.06,1.46,-0.52,0.88,-0.82,0.58,-1.24,0.16,-0.56,0.84
2024-07-14 05:20:00,1.31,23.0,100.0,1018.8,5.0,25.0,18.0,18.0,-0.51,0.8,-0.45,0.86,-0.77,0.54,-1.15,0.16,-0.46,0.85
2024-07-14 05:30:00,1.03,23.0,100.0,1018.8,5.0,25.0,18.0,18.0,0.45,1.48,-0.2,0.83,-0.51,0.52,-0.87,0.16,-0.12,0.91
2024-07-14 05:40:00,1.21,22.0,100.0,1018.8,5.0,25.0,18.0,18.0,0.27,1.48,-0.29,0.92,-0.66,0.55,-1.05,0.16,-0.3,0.91
2024-07-14 06:00:00,1.49,21.0,100.0,1018.1,6.0,25.0,18.0,18.0,-0.14,1.35,-0.79,0.7,-1.09,0.4,-1.42,0.07,-0.42,1.07
