DATE,Air temp C,Relative Humidity (%),Atmospheric Pressure (mb),hour
2022-05-01 01:00:00,20.56,70.21,1004.3,1.0
2022-05-01 02:00:00,17.22,77.61,1004.2,2.0
2022-05-01 03:00:00,16.67,83.36,1004.7,3.0
2022-05-01 04:00:00,16.11,83.29,1004.5,4.0
2022-05-01 05:00:00,15.56,72.13,1004.9,5.0
2022-05-01 06:00:00,15.0,61.98,1005.5,6.0
2022-05-01 07:00:00,13.33,66.72,1005.3,7.0
2022-05-01 08:00:00,12.78,66.61,1005.4,8.0
2022-05-01 09:00:00,12.22,69.09,1005.2,9.0
2022-05-01 10:00:00,12.22,69.09,1005.4,10.0
2022-05-01 11:00:00,12.78,63.86,1005.4,11.0
2022-05-01 12:00:00,12.78,66.61,1006.2,12.0
2022-05-01 13:00:00,12.78,66.61,1006.6,13.0
2022-05-01 14:00:00,12.78,68.93,1007.0,14.0
2022-05-01 15:00:00,12.78,66.61,1007.3,15.0
2022-05-01 16:00:00,12.22,66.24,1008.0,16.0
2022-05-01 17:00:00,12.22,66.24,1008.7,17.0
2022-05-01 18:00:00,12.22,66.24,1008.9,18.0
2022-05-01 19:00:00,11.67,71.4,1009.4,19.0
2022-05-01 20:00:00,11.11,76.94,1010.1,20.0
2022-05-01 21:00:00,11.11,71.28,1010.7,21.0
2022-05-01 22:00:00,11.11,68.86,1011.2,22.0
2022-05-01 23:00:00,11.67,66.13,1011.5,23.0
2022-05-02 00:00:00,11.67,63.38,1012.0,0.0
2022-05-02 01:00:00,11.67,63.38,1012.5,1.0
2022-05-02 02:00:00,11.67,63.38,1013.0,2.0
2022-05-02 03:00:00,11.11,66.0,1013.5,3.0
2022-05-02 04:00:00,11.67,66.13,1013.6,4.0
2022-05-02 05:00:00,11.67,66.13,1013.8,5.0
2022-05-02 06:00:00,11.67,66.13,1013.9,6.0
2022-05-02 07:00:00,11.11,68.86,1014.2,7.0
2022-05-02 08:00:00,11.11,63.24,1014.6,8.0
2022-05-02 09:00:00,11.11,61.06,1015.0,9.0
2022-05-02 10:00:00,10.56,68.23,1015.3,10.0
2022-05-02 11:00:00,10.56,65.38,1015.9,11.0
2022-05-02 12:00:00,10.0,68.1,1016.3,12.0
2022-05-02 13:00:00,10.0,68.1,1017.1,13.0
2022-05-02 14:00:00,10.0,65.75,1017.7,14.0
2022-05-02 15:00:00,10.56,63.12,1017.9,15.0
2022-05-02 16:00:00,10.56,63.12,1018.0,16.0
2022-05-02 17:00:00,11.11,63.24,1019.0,17.0
2022-05-02 18:00:00,11.11,63.24,1018.0,18.0
2022-05-02 19:00:00,11.67,60.73,1017.9,19.0
2022-05-02 20:00:00,11.67,60.73,1017.8,20.0
2022-05-02 21:00:00,12.22,58.76,1017.9,21.0
2022-05-02 22:00:00,12.78,59.13,1017.7,22.0
2022-05-02 23:00:00,12.78,59.13,1017.8,23.0
2022-05-03 00:00:00,12.78,59.13,1017.2,0.0
2022-05-03 01:00:00,11.11,63.24,1017.0,1.0
2022-05-03 02:00:00,10.56,65.38,1016.5,2.0
2022-05-03 03:00:00,9.44,70.95,1016.4,3.0
2022-05-03 04:00:00,10.56,68.23,1016.0,4.0
2022-05-03 05:00:00,10.0,74.15,1015.8,5.0
2022-05-03 06:00:00,11.11,68.86,1015.3,6.0
2022-05-03 07:00:00,11.11,66.0,1014.1,7.0
2022-05-03 08:00:00,10.0,74.15,1012.7,8.0
2022-05-03 09:00:00,9.44,79.98,1011.5,9.0
2022-05-03 10:00:00,8.89,82.72,1010.8,10.0
2022-05-03 11:00:00,8.89,86.28,1010.0,11.0
2022-05-03 12:00:00,8.89,92.74,1008.6,12.0
2022-05-03 13:00:00,9.44,92.77,1007.0,13.0
2022-05-03 14:00:00,9.44,100.0,1008.5,14.0
2022-05-03 15:00:00,9.44,92.77,1007.6,15.0
2022-05-03 16:00:00,10.0,95.98,1007.2,16.0
2022-05-03 17:00:00,10.56,96.0,1007.7,17.0
2022-05-03 18:00:00,9.44,89.67,1008.5,18.0
2022-05-03 19:00:00,8.89,89.29,1009.2,19.0
2022-05-03 20:00:00,8.89,89.29,1009.6,20.0
2022-05-03 21:00:00,8.33,89.92,1010.6,21.0
2022-05-03 22:00:00,8.33,86.21,1012.0,22.0
2022-05-03 23:00:00,8.33,86.21,1013.1,23.0
2022-05-04 00:00:00,7.78,89.2,1014.3,0.0
2022-05-04 01:00:00,7.78,86.16,1015.6,1.0
2022-05-04 02:00:00,7.22,89.49,1016.8,2.0
2022-05-04 03:00:00,7.22,89.49,1017.6,3.0
2022-05-04 04:00:00,7.78,82.58,1017.7,4.0
2022-05-04 05:00:00,7.78,79.13,1018.3,5.0
2022-05-04 06:00:00,7.78,76.4,1018.8,6.0
2022-05-04 07:00:00,7.22,79.36,1019.0,7.0
2022-05-04 08:00:00,6.67,78.66,1019.5,8.0
2022-05-04 09:00:00,6.67,78.66,1019.8,9.0
2022-05-04 10:00:00,6.11,79.19,1020.5,10.0
2022-05-04 11:00:00,5.56,81.98,1021.3,11.0
2022-05-04 12:00:00,6.11,79.19,1022.3,12.0
2022-05-04 13:00:00,7.22,76.01,1022.8,13.0
2022-05-04 14:00:00,7.78,76.4,1023.4,14.0
2022-05-04 15:00:00,9.44,68.51,1023.4,15.0
2022-05-04 16:00:00,10.56,65.38,1023.7,16.0
2022-05-04 17:00:00,11.11,63.24,1023.5,17.0
2022-05-04 18:00:00,11.67,63.38,1022.9,18.0
2022-05-04 19:00:00,12.22,61.32,1022.8,19.0
2022-05-04 20:00:00,12.22,61.32,1022.9,20.0
2022-05-04 21:00:00,13.33,59.71,1023.2,21.0
2022-05-04 22:00:00,13.33,59.71,1022.9,22.0
2022-05-04 23:00:00,13.89,57.38,1022.9,23.0
2022-05-05 00:00:00,12.22,61.32,1023.5,0.0
2022-05-05 01:00:00,10.0,68.1,1023.4,1.0
2022-05-05 02:00:00,9.44,63.34,1023.6,2.0
2022-05-05 03:00:00,8.89,67.87,1023.8,3.0
2022-05-05 04:00:00,8.33,70.73,1023.6,4.0
2022-05-05 05:00:00,7.78,70.64,1021.8,5.0
2022-05-05 06:00:00,7.22,73.37,1021.6,6.0
2022-05-05 07:00:00,7.22,70.53,1021.3,7.0
2022-05-05 08:00:00,7.78,67.9,1021.2,8.0
2022-05-05 09:00:00,7.78,70.64,1020.6,9.0
2022-05-05 10:00:00,8.89,70.85,1020.6,10.0
2022-05-05 11:00:00,10.0,65.75,1020.2,11.0
2022-05-05 12:00:00,10.0,68.1,1020.3,12.0
2022-05-05 13:00:00,10.0,71.07,1020.5,13.0
2022-05-05 14:00:00,10.56,68.23,1021.0,14.0
2022-05-05 15:00:00,10.56,71.19,1019.9,15.0
2022-05-05 16:00:00,11.11,71.28,1019.7,16.0
2022-05-05 17:00:00,11.67,68.46,1019.0,17.0
2022-05-05 18:00:00,11.67,71.4,1018.6,18.0
2022-05-05 19:00:00,11.11,82.68,1017.4,19.0
2022-05-05 20:00:00,12.22,82.82,1016.5,20.0
2022-05-05 21:00:00,12.22,82.82,1016.0,21.0
2022-05-05 22:00:00,11.67,85.59,1015.5,22.0
2022-05-05 23:00:00,11.11,89.13,1015.7,23.0
2022-05-06 00:00:00,10.56,85.48,1014.4,0.0
2022-05-06 01:00:00,11.11,86.17,1014.5,1.0
2022-05-06 02:00:00,11.11,86.17,1013.3,2.0
2022-05-06 03:00:00,11.11,86.17,1013.4,3.0
2022-05-06 04:00:00,11.11,86.17,1012.8,4.0
2022-05-06 05:00:00,11.11,89.13,1011.9,5.0
2022-05-06 06:00:00,11.11,92.86,1011.2,6.0
2022-05-06 07:00:00,10.56,92.14,1010.4,7.0
2022-05-06 08:00:00,10.56,92.14,1009.6,8.0
